seqname,source,feature,start,end,strand,GenBank_locus_tag,Product,gene_biotype,protein_id,name
NC_003317.1,RefSeq,gene,34277,34513,-,BME_RS00165,response regulator SirA,protein_coding,WP_075589477.1,BME_RS00165
NC_003317.1,RefSeq,gene,34513,35724,-,BME_RS00170,hypothetical protein,protein_coding,WP_004684510.1,BME_RS00170
NC_003317.1,RefSeq,gene,35946,36899,-,BME_RS00175,acetyl-CoA carboxylase carboxyl transferase subunit alpha,protein_coding,WP_002965096.1,BME_RS00175
NC_003317.1,RefSeq,gene,37038,37961,-,BME_RS00180,site-specific tyrosine recombinase XerD,protein_coding,WP_005970535.1,BME_RS00180
NC_003317.1,RefSeq,gene,37967,38149,-,BME_RS00185,hypothetical protein,protein_coding,WP_006256342.1,BME_RS00185
NC_003317.1,RefSeq,gene,38295,38897,+,BME_RS00190,shikimate kinase,protein_coding,WP_002971869.1,BME_RS00190
NC_003317.1,RefSeq,gene,38990,40126,+,BME_RS00195,3-dehydroquinate synthase,protein_coding,WP_004684507.1,BME_RS00195
NC_003317.1,RefSeq,gene,40190,41497,+,BME_RS00200,HlyC/CorC family transporter,protein_coding,WP_002967018.1,BME_RS00200
NC_003317.1,RefSeq,gene,41522,41836,-,BME_RS00205,BolA family transcriptional regulator,protein_coding,WP_002968005.1,BME_RS00205
NC_003317.1,RefSeq,gene,41829,42026,+,BME_RS15795,hypothetical protein,protein_coding,WP_004684506.1,BME_RS15795
NC_003317.1,RefSeq,gene,42023,42652,+,BME_RS00210,J domain-containing protein,protein_coding,WP_002965089.1,BME_RS00210
NC_003317.1,RefSeq,gene,42630,42860,-,BME_RS15800,hypothetical protein,protein_coding,WP_004684505.1,BME_RS15800
NC_003317.1,RefSeq,gene,42939,43925,+,BME_RS00215,cobaltochelatase subunit CobS,protein_coding,WP_002971872.1,BME_RS00215
NC_003317.1,RefSeq,gene,44021,45934,+,BME_RS00220,cobaltochelatase subunit CobT,protein_coding,WP_004686229.1,BME_RS00220
NC_003317.1,RefSeq,gene,46200,47192,-,BME_RS00225,hypothetical protein,protein_coding,WP_004684503.1,BME_RS00225
NC_003317.1,RefSeq,gene,47219,47968,-,BME_RS00230,hypothetical protein,protein_coding,WP_004684502.1,BME_RS00230
NC_003317.1,RefSeq,gene,48375,50804,-,BME_RS00235,heavy metal translocating P-type ATPase,protein_coding,WP_004684501.1,BME_RS00235
NC_003317.1,RefSeq,gene,50893,51315,+,BME_RS00240,MerR family DNA-binding transcriptional regulator,protein_coding,WP_002965082.1,BME_RS00240
NC_003317.1,RefSeq,gene,51427,52242,-,BME_RS00245,DUF3108 domain-containing protein,protein_coding,WP_002967999.1,BME_RS00245
NC_003317.1,RefSeq,gene,52604,52897,+,BME_RS00250,50S ribosomal protein L28,protein_coding,WP_002965079.1,BME_RS00250
NC_003317.1,RefSeq,gene,52977,53648,+,BME_RS00255,membrane protein,protein_coding,WP_004684500.1,BME_RS00255
NC_003317.1,RefSeq,gene,53789,58111,-,BME_RS15805,outer membrane autotransporter barrel domain-containing protein,protein_coding,WP_004684499.1,BME_RS15805
NC_003317.1,RefSeq,gene,58749,60305,+,BME_RS00265,hypothetical protein,protein_coding,WP_004684498.1,BME_RS00265
NC_003317.1,RefSeq,gene,60314,60673,+,BME_RS00270,hypothetical protein,protein_coding,WP_011004939.1,BME_RS00270
NC_003317.1,RefSeq,gene,61107,62186,+,BME_RS00275,hypothetical protein,protein_coding,WP_004684496.1,BME_RS00275
NC_003317.1,RefSeq,gene,62195,62569,+,BME_RS00280,hypothetical protein,protein_coding,WP_005970566.1,BME_RS00280
NC_003317.1,RefSeq,gene,62557,63702,+,BME_RS15810,hypothetical protein,protein_coding,WP_005970569.1,BME_RS15810
NC_003317.1,RefSeq,gene,63731,64030,-,BME_RS15815,hypothetical protein,protein_coding,WP_004684493.1,BME_RS15815
NC_003317.1,RefSeq,gene,64091,64636,-,BME_RS00285,hypothetical protein,protein_coding,WP_002965069.1,BME_RS00285
NC_003317.1,RefSeq,gene,64844,65527,+,BME_RS00290,DNA-binding response regulator,protein_coding,WP_002965068.1,BME_RS00290
NC_003317.1,RefSeq,gene,65562,66023,+,BME_RS00295,cyclic nucleotide-binding domain-containing protein,protein_coding,WP_002965067.1,BME_RS00295
NC_003317.1,RefSeq,gene,66029,66835,-,BME_RS00300,exodeoxyribonuclease III,protein_coding,WP_002965066.1,BME_RS00300
NC_003317.1,RefSeq,gene,66938,67633,-,BME_RS00305,outer membrane lipoprotein carrier protein LolA,protein_coding,WP_004686237.1,BME_RS00305
NC_003317.1,RefSeq,gene,68014,68700,-,BME_RS00310,aquaporin,protein_coding,WP_004684491.1,BME_RS00310
NC_003317.1,RefSeq,gene,69178,69450,+,BME_RS00315,hypothetical protein,protein_coding,WP_002965063.1,BME_RS00315
NC_003317.1,RefSeq,gene,69572,69754,+,BME_RS15820,hypothetical protein,protein_coding,WP_002969210.1,BME_RS15820
NC_003317.1,RefSeq,gene,69759,70418,+,BME_RS00320,cell division ATP-binding protein FtsE,protein_coding,WP_002965062.1,BME_RS00320
NC_003317.1,RefSeq,gene,70411,71412,+,BME_RS00325,ABC transporter permease,protein_coding,WP_004684490.1,BME_RS00325
NC_003317.1,RefSeq,gene,71409,72311,+,BME_RS00330,YdcF family protein,protein_coding,WP_002969498.1,BME_RS00330
NC_003317.1,RefSeq,gene,72490,73272,+,BME_RS00335,1-acyl-sn-glycerol-3-phosphate acyltransferase,protein_coding,WP_002965059.1,BME_RS00335
NC_003317.1,RefSeq,gene,73425,73955,+,BME_RS00340,inorganic pyrophosphatase,protein_coding,WP_002965058.1,BME_RS00340
NC_003317.1,RefSeq,gene,74126,74416,-,BME_RS00345,YggT family protein,protein_coding,WP_002967993.1,BME_RS00345
NC_003317.1,RefSeq,gene,74618,74693,+,BME_RS00350,tRNA-Ala,tRNA,NA,BME_RS00350
NC_003317.1,RefSeq,gene,74749,75309,-,BME_RS00355,gamma-glutamylcyclotransferase,protein_coding,WP_002969497.1,BME_RS00355
NC_003317.1,RefSeq,gene,75298,75501,+,BME_RS15825,hypothetical protein,protein_coding,WP_004684489.1,BME_RS15825
NC_003317.1,RefSeq,gene,75521,76540,+,BME_RS00360,DUF2125 domain-containing protein,protein_coding,WP_002965055.1,BME_RS00360
NC_003317.1,RefSeq,gene,76509,77474,-,BME_RS00365,prephenate dehydrogenase/arogenate dehydrogenase family protein,protein_coding,WP_004684488.1,BME_RS00365
NC_003317.1,RefSeq,gene,77479,78585,-,BME_RS00370,histidinol-phosphate transaminase,protein_coding,WP_004684487.1,BME_RS00370
NC_003317.1,RefSeq,pseudogene,78730,79508,-,BME_RS00375,SAM-dependent methyltransferase,pseudogene,NA,BME_RS00375
NC_003317.1,RefSeq,gene,79503,79697,+,BME_RS15830,hypothetical protein,protein_coding,WP_004687714.1,BME_RS15830
NC_003317.1,RefSeq,gene,79657,80193,+,BME_RS00380,hypoxanthine phosphoribosyltransferase,protein_coding,WP_002965051.1,BME_RS00380
NC_003317.1,RefSeq,gene,80233,82866,-,BME_RS00385,TIGR02302 family protein,protein_coding,WP_004684486.1,BME_RS00385
NC_003317.1,RefSeq,gene,82965,84230,-,BME_RS00390,diaminopimelate decarboxylase,protein_coding,WP_011004944.1,BME_RS00390
NC_003317.1,RefSeq,gene,84258,84440,-,BME_RS00395,hypothetical protein,protein_coding,WP_002971893.1,BME_RS00395
NC_003317.1,RefSeq,gene,84551,85951,-,BME_RS00400,argininosuccinate lyase,protein_coding,WP_002965047.1,BME_RS00400
NC_003317.1,RefSeq,gene,86005,86721,+,BME_RS00405,TlpA family protein disulfide reductase,protein_coding,WP_002965046.1,BME_RS00405
NC_003317.1,RefSeq,gene,86729,87214,-,BME_RS00410,YaiI/YqxD family protein,protein_coding,WP_002965045.1,BME_RS00410
NC_003317.1,RefSeq,gene,87232,88092,-,BME_RS00415,YihY/virulence factor BrkB family protein,protein_coding,WP_002965044.1,BME_RS00415
NC_003317.1,RefSeq,gene,88250,89092,+,BME_RS00420,short-chain dehydrogenase,protein_coding,WP_004684484.1,BME_RS00420
NC_003317.1,RefSeq,gene,89122,89325,+,BME_RS00425,twin transmembrane helix small protein,protein_coding,WP_002965042.1,BME_RS00425
NC_003317.1,RefSeq,gene,89327,89956,+,BME_RS00430,ATP:cob(I)alamin adenosyltransferase,protein_coding,WP_049751145.1,BME_RS00430
NC_003317.1,RefSeq,gene,90052,90810,-,BME_RS00435,7-carboxy-7-deazaguanine synthase QueE,protein_coding,WP_041594634.1,BME_RS00435
NC_003317.1,RefSeq,pseudogene,90807,91171,-,BME_RS00440,6-carboxytetrahydropterin synthase QueD,pseudogene,NA,BME_RS00440
NC_003317.1,RefSeq,gene,91171,91869,-,BME_RS00445,7-cyano-7-deazaguanine synthase,protein_coding,WP_002965038.1,BME_RS00445
NC_003317.1,RefSeq,gene,92205,92951,+,BME_RS00450,electron transfer flavoprotein subunit beta/FixA family protein,protein_coding,WP_004684482.1,BME_RS00450
NC_003317.1,RefSeq,gene,93104,94033,+,BME_RS00455,electron transfer flavoprotein subunit alpha/FixB family protein,protein_coding,WP_002965036.1,BME_RS00455
NC_003317.1,RefSeq,gene,94144,94365,+,BME_RS15835,hypothetical protein,protein_coding,WP_004686719.1,BME_RS15835
NC_003317.1,RefSeq,gene,94517,95392,+,BME_RS00460,3-hydroxybutyryl-CoA dehydrogenase,protein_coding,WP_002965034.1,BME_RS00460
NC_003317.1,RefSeq,gene,95882,96865,-,BME_RS00465,cysteine synthase A,protein_coding,WP_004684481.1,BME_RS00465
NC_003317.1,RefSeq,gene,97112,97561,+,BME_RS00470,universal stress protein,protein_coding,WP_002965031.1,BME_RS00470
NC_003317.1,RefSeq,gene,97741,99024,+,BME_RS00475,methionine gamma-lyase,protein_coding,WP_002967987.1,BME_RS00475
NC_003317.1,RefSeq,gene,99710,101017,-,BME_RS00480,MFS transporter,protein_coding,WP_002971902.1,BME_RS00480
NC_003317.1,RefSeq,pseudogene,101096,102086,+,BME_RS00485,L-asparaginase,pseudogene,NA,BME_RS00485
NC_003317.1,RefSeq,gene,102110,102793,+,BME_RS00490,GntR family transcriptional regulator,protein_coding,WP_002965027.1,BME_RS00490
NC_003317.1,RefSeq,gene,102930,103928,-,BME_RS00495,asparaginase,protein_coding,WP_004684476.1,BME_RS00495
NC_003317.1,RefSeq,gene,103937,104692,-,BME_RS00500,amino acid ABC transporter ATP-binding protein,protein_coding,WP_002967984.1,glnQ
NC_003317.1,RefSeq,gene,104676,106127,-,BME_RS00505,aspartate ammonia-lyase,protein_coding,WP_004686716.1,BME_RS00505
NC_003317.1,RefSeq,gene,106136,107149,-,BME_RS00510,arginase,protein_coding,WP_004684387.1,BME_RS00510
NC_003317.1,RefSeq,gene,107170,107985,-,BME_RS00515,amino acid ABC transporter ATP-binding protein,protein_coding,WP_004686715.1,BME_RS00515
NC_003317.1,RefSeq,gene,107982,108704,-,BME_RS00520,amino acid ABC transporter permease,protein_coding,WP_002965021.1,BME_RS00520
NC_003317.1,RefSeq,gene,108709,109209,-,BME_RS00525,amino acid ABC transporter permease,protein_coding,WP_002969494.1,BME_RS00525
NC_003317.1,RefSeq,pseudogene,109493,110338,-,BME_RS00530,amino acid ABC transporter substrate-binding protein,pseudogene,NA,BME_RS00530
NC_003317.1,RefSeq,gene,110404,110589,+,BME_RS15840,hypothetical protein,protein_coding,WP_002965018.1,BME_RS15840
NC_003317.1,RefSeq,gene,110629,111588,+,BME_RS00535,LysR family transcriptional regulator,protein_coding,WP_004686712.1,BME_RS00535
NC_003317.1,RefSeq,gene,111736,111936,+,BME_RS00540,hypothetical protein,protein_coding,WP_002965016.1,BME_RS00540
NC_003317.1,RefSeq,gene,112051,112135,-,BME_RS00545,tRNA-Leu,tRNA,NA,BME_RS00545
NC_003317.1,RefSeq,gene,112771,114405,-,BME_RS00555,phosphoethanolamine transferase,protein_coding,WP_004684471.1,BME_RS00555
NC_003317.1,RefSeq,gene,114574,115860,-,BME_RS00560,GNAT family N-acetyltransferase,protein_coding,WP_004684470.1,BME_RS00560
NC_003317.1,RefSeq,gene,115860,116066,-,BME_RS00565,hypothetical protein,protein_coding,WP_002970362.1,BME_RS00565
NC_003317.1,RefSeq,gene,116637,119357,-,BME_RS00570,protein translocase subunit SecA,protein_coding,WP_004686711.1,BME_RS00570
NC_003317.1,RefSeq,gene,119549,119695,-,BME_RS00575,hypothetical protein,protein_coding,WP_014300011.1,BME_RS00575
NC_003317.1,RefSeq,gene,119696,120691,+,BME_RS00580,peptidylprolyl isomerase,protein_coding,WP_002967000.1,BME_RS00580
NC_003317.1,RefSeq,gene,121129,122370,+,BME_RS00585,bifunctional glutamate N-acetyltransferase/amino-acid N-acetyltransferase,protein_coding,WP_004684467.1,BME_RS00585
NC_003317.1,RefSeq,gene,122461,123219,+,BME_RS00590,N-acetyltransferase,protein_coding,WP_004686250.1,BME_RS00590
NC_003317.1,RefSeq,gene,123216,123632,+,BME_RS00595,(deoxy)nucleoside triphosphate pyrophosphohydrolase,protein_coding,WP_004684465.1,BME_RS00595
NC_003317.1,RefSeq,gene,123744,124049,+,BME_RS00600,hypothetical protein,protein_coding,WP_004684464.1,BME_RS00600
NC_003317.1,RefSeq,gene,124114,124605,-,BME_RS00605,hypothetical protein,protein_coding,WP_004684463.1,BME_RS00605
NC_003317.1,RefSeq,gene,124652,125434,-,BME_RS00610,hydroxyacylglutathione hydrolase,protein_coding,WP_002965004.1,BME_RS00610
NC_003317.1,RefSeq,gene,125458,126120,-,BME_RS00615,septation protein A,protein_coding,WP_011004958.1,BME_RS00615
NC_003317.1,RefSeq,gene,126120,127517,-,BME_RS00620,signal recognition particle-docking protein FtsY,protein_coding,WP_004686710.1,BME_RS00620
NC_003317.1,RefSeq,gene,127539,128822,-,BME_RS00625,tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferase MtaB,protein_coding,WP_004684461.1,BME_RS00625
NC_003317.1,RefSeq,gene,128822,129733,-,BME_RS00630,diaminopimelate epimerase,protein_coding,WP_004684460.1,BME_RS00630
NC_003317.1,RefSeq,gene,129764,129967,+,BME_RS15845,hypothetical protein,protein_coding,WP_002964999.1,BME_RS15845
NC_003317.1,RefSeq,gene,130096,130629,+,BME_RS00635,hypothetical protein,protein_coding,WP_002964998.1,BME_RS00635
NC_003317.1,RefSeq,gene,130749,131912,+,BME_RS00640,cell division protein ZapE,protein_coding,WP_004686709.1,BME_RS00640
NC_003317.1,RefSeq,gene,131989,132231,+,BME_RS15850,hypothetical protein,protein_coding,WP_002964996.1,BME_RS15850
NC_003317.1,RefSeq,gene,132351,133313,+,BME_RS00645,malate dehydrogenase,protein_coding,WP_004684458.1,BME_RS00645
NC_003317.1,RefSeq,gene,133420,134616,+,BME_RS00650,succinyl-CoA ligase subunit beta,protein_coding,WP_002964994.1,BME_RS00650
NC_003317.1,RefSeq,gene,134620,135522,+,BME_RS00655,succinate--CoA ligase subunit alpha,protein_coding,WP_004684457.1,BME_RS00655
NC_003317.1,RefSeq,gene,135798,138812,+,BME_RS00660,2-oxoglutarate dehydrogenase subunit E1,protein_coding,WP_004684456.1,BME_RS00660
NC_003317.1,RefSeq,gene,138874,140100,+,BME_RS00665,dihydrolipoyllysine-residue succinyltransferase,protein_coding,WP_004684455.1,BME_RS00665
NC_003317.1,RefSeq,gene,140110,140523,+,BME_RS00670,membrane protein,protein_coding,WP_004684450.1,BME_RS00670
NC_003317.1,RefSeq,gene,140565,141203,+,BME_RS00675,LysE family translocator,protein_coding,WP_004686708.1,BME_RS00675
NC_003317.1,RefSeq,gene,141274,141816,+,BME_RS00680,hypothetical protein,protein_coding,WP_002964988.1,BME_RS00680
NC_003317.1,RefSeq,gene,141985,143388,+,BME_RS00685,dihydrolipoyl dehydrogenase,protein_coding,WP_004686707.1,BME_RS00685
NC_003317.1,RefSeq,gene,143592,144593,-,BME_RS00690,GumN family protein,protein_coding,WP_002964985.1,BME_RS00690
NC_003317.1,RefSeq,gene,144647,145594,-,BME_RS00695,tyrosine recombinase XerC,protein_coding,WP_004684445.1,BME_RS00695
NC_003317.1,RefSeq,gene,145818,146387,+,BME_RS00700,ribosome maturation factor RimM,protein_coding,WP_002964983.1,BME_RS00700
NC_003317.1,RefSeq,gene,146384,147118,+,BME_RS00705,tRNA (guanosine(37)-N1)-methyltransferase TrmD,protein_coding,WP_002964982.1,BME_RS00705
NC_003317.1,RefSeq,gene,147253,147918,-,BME_RS00710,ArsR family transcriptional regulator,protein_coding,WP_004685219.1,BME_RS00710
NC_003317.1,RefSeq,gene,147989,148312,+,BME_RS00715,NIPSNAP family protein,protein_coding,WP_002964980.1,BME_RS00715
NC_003317.1,RefSeq,gene,148309,148671,+,BME_RS00720,antibiotic biosynthesis monooxygenase,protein_coding,WP_002964979.1,BME_RS00720
NC_003317.1,RefSeq,gene,148664,149074,+,BME_RS00725,hypothetical protein,protein_coding,WP_002969202.1,BME_RS00725
NC_003317.1,RefSeq,gene,149071,149307,+,BME_RS00730,hypothetical protein,protein_coding,WP_002966995.1,BME_RS00730
NC_003317.1,RefSeq,pseudogene,149460,150705,-,BME_RS00735,allantoin permease,pseudogene,NA,BME_RS00735
NC_003317.1,RefSeq,gene,151213,151650,+,BME_RS00740,50S ribosomal protein L19,protein_coding,WP_002964975.1,BME_RS00740
NC_003317.1,RefSeq,gene,151861,153270,+,BME_RS00745,3-isopropylmalate dehydratase large subunit,protein_coding,WP_004684442.1,BME_RS00745
NC_003317.1,RefSeq,gene,153527,153985,+,BME_RS00750,GNAT family N-acetyltransferase,protein_coding,WP_002964973.1,BME_RS00750
NC_003317.1,RefSeq,gene,154094,154288,-,BME_RS15855,hypothetical protein,protein_coding,WP_008503543.1,BME_RS15855
NC_003317.1,RefSeq,gene,154330,154728,+,BME_RS00755,succinate dehydrogenase%2C cytochrome b556 subunit,protein_coding,WP_002971918.1,BME_RS00755
NC_003317.1,RefSeq,gene,154742,155137,+,BME_RS00760,succinate dehydrogenase%2C hydrophobic membrane anchor protein,protein_coding,WP_004686706.1,BME_RS00760
NC_003317.1,RefSeq,gene,155145,156986,+,BME_RS00765,succinate dehydrogenase flavoprotein subunit,protein_coding,WP_004684438.1,BME_RS00765
NC_003317.1,RefSeq,gene,157002,157781,+,BME_RS00770,succinate dehydrogenase iron-sulfur subunit,protein_coding,WP_002966992.1,BME_RS00770
NC_003317.1,RefSeq,gene,157750,158151,-,BME_RS15860,hypothetical protein,protein_coding,WP_002966991.1,BME_RS15860
NC_003317.1,RefSeq,gene,158150,158521,+,BME_RS00775,VOC family protein,protein_coding,WP_004684435.1,BME_RS00775
NC_003317.1,RefSeq,gene,158607,159851,-,BME_RS00780,2-octaprenyl-6-methoxyphenyl hydroxylase,protein_coding,WP_004686260.1,BME_RS00780
NC_003317.1,RefSeq,gene,160071,160973,+,BME_RS00785,acyl-CoA thioesterase II,protein_coding,WP_004684432.1,BME_RS00785
NC_003317.1,RefSeq,gene,161023,161205,+,BME_RS15865,hypothetical protein,protein_coding,WP_002966990.1,BME_RS15865
NC_003317.1,RefSeq,gene,161196,162497,+,BME_RS00790,ammonium transporter,protein_coding,WP_004684431.1,BME_RS00790
NC_003317.1,RefSeq,gene,162707,165160,+,BME_RS00795,DNA translocase FtsK,protein_coding,WP_005970682.1,BME_RS00795
NC_003317.1,RefSeq,gene,165222,166703,-,BME_RS00800,PLP-dependent aminotransferase family protein,protein_coding,WP_004684429.1,BME_RS00800
NC_003317.1,RefSeq,gene,166831,167688,+,BME_RS00805,EamA/RhaT family transporter,protein_coding,WP_004684428.1,BME_RS00805
NC_003317.1,RefSeq,gene,167734,168390,-,BME_RS00810,methyltransferase,protein_coding,WP_004684426.1,BME_RS00810
NC_003317.1,RefSeq,gene,168390,168818,-,BME_RS00815,EVE domain-containing protein,protein_coding,WP_002964961.1,BME_RS00815
NC_003317.1,RefSeq,gene,168831,169121,-,BME_RS00820,hypothetical protein,protein_coding,WP_002964960.1,BME_RS00820
NC_003317.1,RefSeq,gene,169123,170103,-,BME_RS00825,glycerol-3-phosphate dehydrogenase (NAD(P)(+)),protein_coding,WP_002964959.1,BME_RS00825
NC_003317.1,RefSeq,gene,170100,171179,-,BME_RS00830,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD,protein_coding,WP_002964958.1,BME_RS00830
NC_003317.1,RefSeq,gene,171298,172242,+,BME_RS00835,hydroxymethylbilane synthase,protein_coding,WP_002964957.1,BME_RS00835
NC_003317.1,RefSeq,gene,172266,172973,+,BME_RS00840,uroporphyrinogen III methyltransferase,protein_coding,WP_002964956.1,BME_RS00840
NC_003317.1,RefSeq,gene,173056,174432,+,BME_RS00845,hypothetical protein,protein_coding,WP_002964955.1,BME_RS00845
NC_003317.1,RefSeq,gene,174445,176016,+,BME_RS00850,heme biosynthesis protein HemY,protein_coding,WP_004686704.1,BME_RS00850
NC_003317.1,RefSeq,gene,176432,176911,+,BME_RS00855,hypothetical protein,protein_coding,WP_004684419.1,BME_RS00855
NC_003317.1,RefSeq,gene,176937,178175,-,BME_RS00860,MFS transporter,protein_coding,WP_004684417.1,BME_RS00860
NC_003317.1,RefSeq,gene,178314,179207,-,BME_RS00865,methyltransferase domain-containing protein,protein_coding,WP_004686703.1,BME_RS00865
NC_003317.1,RefSeq,gene,179390,180178,+,BME_RS00870,ComF family protein,protein_coding,WP_004684413.1,BME_RS00870
NC_003317.1,RefSeq,gene,180262,180528,+,BME_RS00875,glutaredoxin 3,protein_coding,WP_002964949.1,BME_RS00875
NC_003317.1,RefSeq,gene,180539,181393,+,BME_RS00880,carbon-nitrogen hydrolase family protein,protein_coding,WP_002964948.1,BME_RS00880
NC_003317.1,RefSeq,gene,181399,181824,+,BME_RS00885,DUF1178 domain-containing protein,protein_coding,WP_004684408.1,BME_RS00885
NC_003317.1,RefSeq,gene,181852,182745,+,BME_RS00890,EamA/RhaT family transporter,protein_coding,WP_004684405.1,BME_RS00890
NC_003317.1,RefSeq,gene,182751,183497,-,BME_RS00895,bifunctional 3-demethylubiquinone 3-O-methyltransferase/2-octaprenyl-6-hydroxy phenol methylase,protein_coding,WP_004684402.1,BME_RS00895
NC_003317.1,RefSeq,gene,183715,184986,+,BME_RS00900,aspartate kinase,protein_coding,WP_002964944.1,BME_RS00900
NC_003317.1,RefSeq,gene,185314,187584,+,BME_RS00905,phosphoenolpyruvate--protein phosphotransferase,protein_coding,WP_004685205.1,BME_RS00905
NC_003317.1,RefSeq,gene,187781,188860,+,BME_RS00910,peptide chain release factor 1,protein_coding,WP_004686702.1,BME_RS00910
NC_003317.1,RefSeq,gene,188857,189744,+,BME_RS00915,peptide chain release factor N(5)-glutamine methyltransferase,protein_coding,WP_004686701.1,BME_RS00915
NC_003317.1,RefSeq,gene,189936,190208,+,BME_RS15870,hypothetical protein,protein_coding,WP_002964940.1,BME_RS15870
NC_003317.1,RefSeq,gene,190162,190947,+,BME_RS00920,DUF4167 domain-containing protein,protein_coding,WP_002969198.1,BME_RS00920
